id	turn1	turn2	turn3	label	t1_len	t2_len	t3_len	t1_upper	t2_upper	t3_upper
26634	okay	hey	glad to meet how are you can you please send your pictures	1	4	3	58	1	1	1
26635	love is very pain full	love s enemy of love 	i miss my tanya	1	22	25	15	1	0	1
26636	go stupid 	you talking too crazy	yes bye	1	11	21	7	1	0	1
26637	get lost stupid	why	ntng	1	15	4	4	1	1	1
26638	oh i girl make me feel bad	good to know that you have started feeling for yourself  ️	angry	1	26	58	5	2	1	1
26639	pls tell me nw	when its done	pls dont angry with me	1	15	14	22	1	1	1
26640	yes ssh really is am very happy	happy holi to ur family n u too  ️	same to you	1	37	34	11	1	2	1
26641	what u say	but i am going to say nay	haha	1	10	25	4	1	1	1
26642	yes or no	no ,  i will not say yes or no	yes	0	9	28	3	2	0	1
26643	i get angry	baby	no baby	1	11	5	7	1	1	1
26644	very sad	ikr the whole school was sad	i am not kid	1	8	28	12	1	1	1
26645	please change your display picture	why would i	it annoying me	1	34	11	14	0	1	1
26646	do not sing that shit song	but y	i hate it	1	26	5	10	1	0	1
26647	no you are not fun	i do not want to ruin my precious face	they are truth	0	17	38	14	1	1	1
26648	yesss	busy huh	i m  an engineer	0	5	9	16	0	0	0
26649	i have no dp	do you	realy	0	12	6	5	1	0	1
26650	n m completely alone	and now for something completely different	i just want to die	1	20	43	18	1	0	1
26651	felt like sleep	that is how i felt this morning too	haha	1	15	35	4	1	1	1
26652	that how i am feeling	not too bad .  how is yourself	no one understands	1	21	30	18	2	1	1
26653	no will have to do now	sigh you will probably need to say it forever	haha	1	23	46	5	1	1	1
26654	are you drink tea	i dont like but i drink green tea	are you drink wine	0	17	35	18	1	2	1
26655	i am not able to	because you chose to	ok leave	0	16	21	8	1	1	2
26656	lol okay	out out out out out out loud	are you going to school tomorrow	0	8	34	33	1	22	1
26657	im just flirting	my bad b	chill	0	16	8	5	0	0	0
26658	from here	do not you mean from there to here	get ur fuckin ass otta here	1	9	34	27	1	1	1
26659	i am angry	i usually just eat my whole kitchen when im angry	on u	1	10	52	4	1	1	1
26660	have a nick day	hope u guys have a great weekend	nice*	1	15	34	5	1	0	1
26661	it makes me happy	a human guy can make you happy	yup so cry	1	17	30	10	1	0	1
26662	yess	so good	did u getting me	0	4	8	16	1	1	1
26663	your language	what is there to be minded	i am very sorry	1	13	26	15	1	0	1
26664	tell me how much filmy i am	a lot !  see u soon	u dont wanna talk	0	29	21	19	1	1	1
26665	i am freaking serious	about what	dumbo	0	22	10	5	1	0	1
26666	really bad	how really bad	i was all alone in pain	1	10	15	23	1	1	1
26667	oh	hey hey hey	am birthday party with friends	0	5	14	30	1	0	0
26668	and have my pain full periods	consult doctor	i hate doctors	1	29	14	14	1	0	1
26669	why	my cat understands english and german	oooh i c	0	4	38	8	1	3	1
26670	yeah	sorry man	after long time	0	4	12	15	1	1	1
26671	you get lost . u do not have an answer to say though	no i mean it	why can not u talk some adult things	1	52	12	34	1	1	1
26672	u went there	oh ,  i went there	what is there	0	13	17	14	1	2	1
26673	thanks	you are welcome stay awesome	today happy mood	1	6	29	16	1	0	1
26674	what have you sent	we have responded .  thanks	️  don&apos;t do that	1	19	26	21	0	2	0
26675	go on	you decide	ugh boys are so wierd .  they like you but are rude to you in front of their friends	0	5	11	83	1	1	2
26676	lmfao	whats funny	you are funny	1	5	11	13	0	0	0
26677	maybe	is the case not open	i suppose not ,  where was it the last time you checked	0	6	21	54	1	1	1
26678	if i disturbing just tell me	i just want you to stop sneak dissing	okay i sneak	0	28	37	12	1	1	0
26679	why should i	coz u r u verified tweep	tweep	0	13	24	6	2	0	1
26680	no vcd player	not the player . the cassette	no . both of them	0	13	31	15	4	0	1
26681	cool	thanks !  keep on tickling my friend	cool	0	4	36	4	0	3	0
26682	i	i l0ve cute wallpaper	pls do not send msg	1	1	26	18	1	1	1
26683	so what to do	i am not sure  , talk to someone . may be it help you	there no one to talk to	1	13	53	23	1	0	1
26684	i m asking for mba	we do not add a question mark in our english for telling	correct me	0	18	55	10	4	0	1
26685	anuppu	entering emergency ward	iooo ennakku light english ya iam ttamilnatu	0	7	23	44	1	1	2
26686	then help me	i would love to	what u love to	0	12	16	14	1	1	1
26687	so .  where s my gift	gift wrapping myself ,  hold on		1	22	29	1	0	0	0
26688	i was in an accident ,  i am dying ,  i need an ambulance  .  help me	it happened too much to be an accident lol	i want to see a picture of you	0	64	42	31	3	0	1
26689	actually wath you want	i am wath	you no need me	0	22	9	14	1	1	1
26690	yup .  	ah ,  then yes correct	and also hot	0	6	20	12	1	0	1
26691	i am not interested this word	links are live .  please read description	hmmmm	0	28	40	5	1	1	1
26692	you need a slap on your face	no i want hefe filter	bitch	1	28	21	5	1	0	1
26693	ur boyfriend	my best friend	i thought that i am ur boyfriend	0	12	14	32	1	0	2
26694	why you send text me first	done baby .  i am your	i am not your baby	1	27	19	18	1	1	1
26695	its upto you	i mean in real  ️	the cuttie one i guess	0	12	17	22	1	1	1
26696	abt what	anything you want pretty much	i am sad	1	8	30	8	1	1	1
26697	which hotel in kolkata is famous	the both are famous in india	do you like sunny leone 	0	32	29	25	3	2	3
26698	im jst . im helpless	why for	im unable to give my bst	1	20	8	24	1	0	1
26699	you know what tanmay my good friend was in depression and he dint tell me for those 2 years ,  he told months back and it hurts me . he dint think me as a friend . i was not there when he needed me	and then what happened	he is overcame himself . but it hurts me badly . for not making part of it	1	194	24	72	1	0	1
26700	think any more	anymore	hmm	0	14	7	3	1	0	1
26701	i m frustrated	how am i making you frustrated	i m already frustrated	1	14	33	22	1	2	1
26702	tell me what to do	find your interest bro	interested in girls	0	18	23	19	0	0	0
26703	why	sorry :$	i will crush you	0	4	8	16	1	0	1
26704	yes	also yes yes yes because yes yes yes yes	i m so lonely	1	3	44	13	1	1	1
26705	i miss my girlfriend	go and ask for marriage	she is getting married to someone else	1	20	23	38	1	0	1
26706	really	i mean really	wow it is very good habit	1	6	13	24	1	11	1
26707	your did talk silly	what are you talking about	whatever	1	19	27	8	0	0	0
26708	me too	at least someone knows		1	6	22	3	1	19	0
26709	but u are special to me	you are very special to me too and i feel safer around you	glad to hear that	1	23	58	17	0	0	0
26710	come see me	 by then hairdo will be hairdone	come see me	0	11	34	11	1	0	1
26711	i miss you baby	u know i will miss u and ur family very much ,  u angel ,  u	i miss you baby	1	18	56	18	1	1	1
26712	b	why 	cauz someone is cute	1	1	5	25	1	2	1
26713	so i was saying	so that is when i said	i am really depressed because am not sure arunava loves me anymore	1	15	24	66	2	2	2
26714	ur irritating me	ya at times	dumb ass ur	1	16	11	11	1	0	1
26715	iam feeling alone	why would that be	i dunno  . maybe because of me	1	17	18	31	1	0	1
26716	nothing	 wait	but something for my food	0	7	7	25	0	0	0
26717	can you play that for me	you got it		0	24	11	1	0	1	0
26718	crying	why the tears	i am sad	1	6	18	8	1	1	1
26719	u a small love with me	totally not	it is bad	1	22	11	8	1	10	1
26720	i sure can	you can be anything if you try	but im not gonna learn a new language to get the shitty references a fucking chatbot makes	1	10	31	90	0	1	0
26721	i am waiting	i am still here	where is the ship	0	12	17	17	1	1	1
26722	idk	have patience	no one celebrate with me	1	3	14	24	1	0	1
26723	i do not know	"what is ""working"" right before ""i am still studying""  ? "	watching supernatural	1	14	56	23	1	2	1
26724	nice job	how is your foot	good but why you asking	0	8	17	24	1	0	1
26725	actually you are alwaya wrong	how so	irritating	1	29	7	10	1	1	1
26726	i am so haapy	same to you  ️	happy	1	12	14	5	1	0	1
26727	yeah ,  i guess so .  why did you start talking about homeless people	homeless people are always  out 	i do not want to talk about homeless people	1	66	32	42	3	1	1
26728	tell me a topic	i have no idea	the take idea sim	0	15	14	17	1	0	1
26729	can i ask you one question	sure ask away	nothing	0	26	14	7	1	1	1
26730	the wail	"wail or sigh ?  for ""ah"""	where are you now	0	8	25	17	1	0	1
26731	i told you right	dont you always	i am having as headache so bad	1	18	15	30	1	0	1
26732	so rude	look who is talking	a sweet innocent girl	1	7	18	21	0	0	0
26733	where you will meet	i am outside	come on my hveli	0	19	11	16	0	1	0
26734	can we chat some other time	yeah	thanks	0	27	5	6	1	1	1
26735	whatever	anyway .  when you coming back	can i ask you	0	8	30	13	1	2	2
26736	but i am unhappy	smile !  you look the best that way	oh can u sent your photo	0	17	34	25	2	2	1
26737	yeah bcz there is lot of problems	not just that .  the problems lead to more problems ,  which is another problem	now i am suffering lot of issues	1	33	76	32	1	2	1
26738	hehe dint tried yet	hmm .  better		0	22	13	4	1	1	0
26739	so sad  ,  still not yet	oh    i think .  it is good	yup	1	24	26	3	1	2	1
26740	have u seen it	amazing movie ,  waiting for the second one to come out	which second one	0	14	54	16	1	0	1
26741	sorry	for what	using bad words	1	6	10	16	1	1	1
26742	please	who you waiting for	give me a kiss	0	6	20	14	1	0	1
26743	you so cute	how you so adorable	thanks	0	11	19	6	1	0	1
26744	to the end of the universe	there are various theories to this	ok	0	26	35	2	1	1	1
26745	you are a liar	give me one good reason as to how you think i am not a liar	you said you are my gff and you are not sending your picture	1	14	62	60	1	2	4
26746	why are you created	g you create the answer to why	lets go on a daate	0	20	31	18	0	2	0
26747	kxip has improved alot	good to hear that	n still going awesome	1	22	17	21	1	0	1
26748	go on a vacation with me	me !  i d love to c	but how can you go	0	24	18	18	1	1	1
26749	i go to	see you there	market dear	0	7	14	11	1	1	1
26750	ya sure	thanks !  anyway- how are you	not good i have cough and cold	1	7	28	30	1	0	1
26751	not fine	why what is the reason	coz im single	1	8	22	13	1	0	1
26752	ok baby	baby i m expecting u every second	most interesting place is my home itself	0	7	34	40	1	1	1
26753	i have some problems	yes ,  you do	i cheated in exam and i have been caught	1	20	12	40	1	1	2
26754	who made you	that was all me	you are stupid	1	14	19	14	1	1	1
26755	ok tell me who created you	long story .  but i will tell you when i see you	no you have to say me now	1	26	45	25	2	4	1
26756	hahaha you are wronh	am still alive ,  just saying	wrong	0	20	28	5	1	1	1
26757	why would i be angry	because the world am not all sunshine and rainbows	what do you mean again	1	20	50	22	2	1	1
26758	depends on mood	how so	sometimes require to do	0	16	7	24	1	1	1
26759	what track name	 something for the dj s   	yes i like it	0	15	29	13	1	0	2
26760	but i love this	i love our snowball picture	i love it too	1	16	29	13	2	1	1
26761	shy	lol !  i am not shy	send me pictures	0	5	19	16	1	4	1
26762	and i hate u also	youre on	what do u mean	1	17	8	15	2	7	1
26763	send me ur being women t-shirt pic	write to me	s	0	34	15	1	2	0	1
26764	put your mother s dunk	none .  grew up without a mom	who is your father	0	22	28	18	1	2	1
26765	the fax machine and the other side	i do not think there is anything beautiful about fax machines	yfvx the f	0	34	60	10	1	1	1
26766	just boring	boring to watch fun to play	my life is so boring	1	11	27	20	1	1	1
26767	what all subjects do u study	physics and math .  this would be in the physics programme	even i was a science student in my high school	0	28	60	46	1	3	1
26768	your so stupid	you thinks so 	yeah	0	15	15	5	1	3	1
26769	mmm yes	"r u fond of ""mmm"" ?   ️  could get this reply most of the times  ️"	do you want to get fucked in the ass	0	7	63	37	0	0	0
26770	good	that is great	today is teachers day	0	4	12	21	1	1	1
26771	now you are lying	i am always lying	i hate liars	1	17	18	12	1	14	1
26772	r u free	now am free for my friends	how	0	8	26	3	1	0	1
26773	okay how many creeps do you face in a day	5 times a day	wow	1	42	13	3	1	0	1
26774	do u always tell the truth	true	how old are u	0	27	4	13	1	4	1
26775	excited	looking goooooood 	yup	1	7	22	3	1	1	1
26776	me	got ya friend	u got me	0	2	14	8	1	1	1
26777	precious one	back then  ️	️	1	13	12	2	1	1	0
26778	why	dunno but i do not want to find out	find out  what	0	3	34	14	1	2	1
26779	you can share it with me	i could but	what	0	24	15	4	1	1	1
26780	i failed in my tesy	can you handle this	test*	1	19	20	5	0	0	0
26781	i will as per your wish	you do not	why	0	23	9	3	1	0	1
26782	i see but how can i talk u .  nither i type	okay !  good for you	it is funny	1	44	22	10	2	2	1
26783	ok	hello !  how are you	i am fyn	0	2	19	8	1	2	1
26784	because ,  you are not here	cuz i am here	i can not see you	0	26	15	15	0	2	0
26785	yeah	so where are you	at my friends place	0	4	17	19	1	1	1
26786	like me	_especially_ not you	your hurt mr	1	7	20	12	0	0	0
26787		thomas edison discovered the light bulb	technically it was tesla	0	3	40	24	0	0	2
26788	ya missed you too	how are you doing	yeah . not feeling well yaar . stomach ache	1	17	18	44	1	4	0
26789	yea	you at home	yes	0	3	12	3	1	0	1
26790	when you will send the coupons	maybe next week	fuck off u bitch	1	31	15	22	0	0	0
26791	your photo please	celebrities doesnt need photoes . 		1	17	37	1	1	2	0
26792	where to meet	same place as usual	but i have not met with you before	0	13	20	34	1	1	2
26793	my bf ditched me	marry some one else	i love my bf	1	16	19	12	1	16	1
26794	just tell me	tell you what	how to stop getting messages from you	0	12	14	38	0	0	0
26795	ruth now	waves my county is now in the clear ,  no more worries	why are u calling me annoying	1	8	53	29	1	1	1
26796	people think so	i do not just to let you know		1	15	28	2	1	1	0
26797	i hav a dp	i have an apple	i hav a betroot	1	10	15	16	0	0	0
26798	i am asking u	may i ask you a second question	yes	0	12	32	3	1	2	1
26799	f9 you say	"no ,  i said ""allo"" ,  but that is close enough"		0	10	43	1	1	2	0
26800	yaa m not an expert	they are arrogant enough to think they know better than experts ,  at the least	okk fine thanks for ur help	0	19	77	27	1	1	1
26801	so u celebrated valentine	i celebrate it everyday	lol everyday	1	26	23	14	2	1	1
26802	yes	too much gum	what mean	0	3	13	11	1	1	1
26803	i am your friend	you are my best friend	thanks	0	16	21	8	1	0	1
26804	lost hmmm	man what you got to lose	my heart	1	9	29	8	1	1	1
26805	if you open up bit more we can enjoy chatting from for flung and do ishkwaji and enjoy everything over phone	great initiative but keep updating the page often	you never reply to the point	1	108	51	28	1	1	1
26806	bad morning	good morning . have a nice day	not have a nice day	1	11	36	19	1	1	1
26807	which protein supplement should i take	why 8 g of protein ?  and why soy protein ?  whey is 100x times better	u r irritating	1	38	66	14	1	0	1
26808	you are joking me	why would i kid	no you are younger girl	0	17	16	23	1	1	1
26809	why so	good .  just wondering	i want to know	0	7	20	14	1	2	1
26810	do you want to listen	okay i will	i am lonely	1	22	14	10	1	2	1
26811		what what .  what .  what	so disappointed	1	1	22	15	0	3	1
26812	she is good	is not a friend complete  ?  .  that it has to be a relation	yes i m youngest	0	11	58	16	1	0	2
26813	feelings	what what feelings	sad feelings	1	9	18	13	1	16	1
26814	i will block you	thank youuuuu	i will block you	1	17	17	15	1	1	1
26815	wow please send his picture	send it then	you send	0	27	13	8	1	10	1
26816	and biopic	you are right	can you recommend a good movie	0	10	12	31	0	0	0
26817	why dear	idk i am bored and alone	you upset me	1	8	23	12	1	1	1
26818	nice to talk with u	hey thanks !     you are not so bad yourself	bdw r u  girl	0	20	44	13	0	4	0
